,idCliente,NIF,Nombre,Apellido1,Apellido2,Sexo,Direccion,Municipio,Provincia,CP,Comunidad,Movil,Telefono,Correo,Nacimiento
0,1,8899616E,Adrián,Fernández,Rey,H,"Plaza  Septentrional Verde 149, 5",Vitoria,Álava,1440,País Vasco,684 680 588,945 796 001,afernandez@correo.es,07/09/1974
1,2,43238429 Q,José,Hernández,Domínguez,H,"Paseo de  Estratega Joven 57, 1º",Vitoria,Álava,1271,País Vasco," 625265233,0",,josehernandez@mail.net,20/09/1937
2,3,78747399,Julia,Romero,Tena,M,"Avenida Ocasión 83, 1º 5ª",Vitoria,Álava,1606,País Vasco," 671737062,0",,juliaromero51@mail.es,28/02/1963
3,4,91929848k,Raquel,Puebla,Álvarez,M,"Calle Trapezoide Prolijo 84, 3º",Vitoria,Álava,1205,País Vasco,," 945562191,0",raquel.puebla@correo.com,23/07/1981
4,5,24485203-R,Alberto,Gomis,Vázquez,H,"Paseo Hemograma 233, 6",Almansa,Albacete,2552,Castilla La Mancha,,,agomis@mail.es,04/04/1956
5,6,39375059W,Antonia,Nieto,Osuna,M,"Avenida  Desahogo 231, 5º 2ª",Albacete,Albacete,2192,Castilla La Mancha,692 640 206,,antnieto77@mail.net,13/03/1947
6,7,90807766-V,Juan,Rodríguez,Millán,H,"Plaza  Preservación 246, 4º",Hellín,Albacete,2865,Castilla La Mancha," 654999998,0"," 967609980,0",rodriguez87@correo.net,20/02/1988
7,8,67303411y,Laura,Pereira,Conde,M,"Plaza Víscera Santa 16, 5",Albacete,Albacete,2520,Castilla La Mancha," 607381915,0"," 967790452,0",laura.pereira@correo.es,26/04/1988
8,9,09153621N,Ana María,García,Mejía,M,"Plaza el Neoclasicismo Mentiroso 144, 4º",Torrevieja,Alicante,3542,Valencia,620 930 815,,anamariagarcia70@mail.net,20/02/1933
9,10,58807708-C,Inmaculada,Barrios,Sánchez,M,"Calle Adjetivo 96, 4º 1ª",Elda,Alicante,3791,Valencia,,968-228-001,inmaculadabarrios27@mail.es,30/06/1983
10,11,24940055M,Jesús,Márquez,Palacios,H,"Plaza del Plancton 44, 5º 3ª",Santa Pola,Alicante,3777,Valencia," 656012630,0"," 963296037,0",marquez35@correo.net,11/09/1973
11,12,93372286Z,Julián,Herrero,Valero,H,"Paseo de la Precipitación Hermosa 254, 2º",San Juan de Alicante,Alicante,3648,Valencia," 626965586,0"," 963138117,0",julherrero@email.net,08/04/1989
12,13,68078686C,Laura,Moreno,López,M,"Plaza Bajorrelieve 42, 5º 2ª",Jávea,Alicante,3662,Valencia,," 969304047,0",laumoreno47@correo.es,10/11/1989
13,14,75158387E,María Amparo,Valdivieso,Cabrera,M,"Calle el Comunicativo 35, 4",Orihuela,Alicante,3906,Valencia," 609180727,0",,mar.valdivieso@correo.com,12/01/1951
14,15,48683678S,María Teresa,Leiva,Cruz,M,"Calle lo Irreversible 108, 6",Torrevieja,Alicante,3278,Valencia,,,marileiva@mail.es,22/12/1939
15,16,16827993C,Rosa María,López,Caballero,M,"Avenida de la Exigencia 175, 3",Torrevieja,Alicante,3848,Valencia," 699961760,0",,roslopez@mail.com,25/10/1936
16,17,91942883S,Fernando,Alonso,López,H,"Plaza Fraternidad 57, 5",Vícar,Almería,4467,Andalucía,655-092-451,,fernandoalonso@mail.es,25/12/1947
17,18,93345107K,Fernando,Dopico,Crespo,H,"Plaza Nobiliario Amoroso 197, 3º 6ª",Almería,Almería,4095,Andalucía,,950-402-927,fernandodopico6@email.com,26/02/1982
18,19,97978411K,María,Blanco,Gómez,M,"Paseo Transitivo Difícil 279, 6º 3ª",Almería,Almería,4894,Andalucía," 677419490,0",,m.blanco@correo.net,03/01/1950
19,20,70525299P,Miguel,Rodríguez,Martínez,H,"Avenida  Bario Cómico 41, 1",Almería,Almería,4038,Andalucía," 614085372,0"," 950260106,0",migrodriguez13@correo.es,19/08/1992
20,21,39099308K,Francisco,Calderón,Gómez,H,"Calle Grandiosidad Alta 136 bis, 1",Ávila,Ávila,5124,Castilla y León,698-334-136,920-038-074,fra.calderon@correo.com,26/07/1994
21,22,77406700Q,María José,Asenjo,Ríos,M,"Avenida Envase Frío 100, 5",Villanueva de la Serena,Badajoz,6419,Extremadura,," 924010310,0",mar.asenjo@mail.net,26/03/1992
22,23,60862474N,Carmen,Díaz,Comas,M,"Plaza de la Gimnasia 156, 5",Palma de Mallorca,Islas Baleares,7106,Baleares,669 349 784,,cardiaz20@email.com,22/11/1952
23,24,01613742Q,Daniel,Blázquez,Sánchez,H,"Calle Prehistoria Llorosa 51, 4º 5ª",Palma de Mallorca,Islas Baleares,7729,Baleares,,971-063-322,danblazquez@email.com,02/06/1979
24,25,20816600J,Iván,Cruz,Sastre,H,"Calle  Brevedad 9, 1",Llucmajor,Islas Baleares,7233,Baleares,656-315-250,,ivacruz@email.com,14/05/1952
25,26,59904432N,José,Casado,Camps,H,"Avenida Transitivo Rápido 233, 5º 2ª",Llucmajor,Islas Baleares,7773,Baleares,639-351-821,,jcasado44@email.net,04/05/1944
26,27,40467977Y,Laia,Andreu,López,M,"Calle  Adverbio Suculento 44, 1",Palma de Mallorca,Islas Baleares,7593,Baleares," 674425532,0"," 971851951,0",landreu94@correo.net,14/08/1982
27,28,14387263G,Rosa María,Diallo,Revilla,M,"Paseo Predilección Amorosa 216, 2º 4ª",Manacor,Islas Baleares,7888,Baleares," 615116223,0"," 971895711,0",rosdiallo17@mail.net,15/07/1989
28,29,24352512C,Alberto,Mendoza,Martin,H,"Avenida la Concepción Marrón 174, 4º",Barcelona,Barcelona,8270,Cataluña,652 111 374,,alb.mendoza@correo.com,04/12/1949
29,30,44166614J,Ana,Lillo,Pardo,M,"Calle Verboides Gentil 180, 4",Barcelona,Barcelona,8665,Cataluña,,,ana.lillo@mail.es,07/09/1960
30,31,16016967C,Ana Isabel,Garcés,Hernández,M,"Calle Plancton Aurífero 125, 4",Barcelona,Barcelona,8466,Cataluña,,934 982 785,angarces@correo.com,30/05/1988
31,32,84963229X,Ana Isabel,Salva,Ruiz,M,"Paseo del Verbo Lento 16, 4º",Barcelona,Barcelona,8338,Cataluña,649 345 787,934 355 869,ansalva98@email.net,19/09/1989
32,33,01164391Q,Andrea,Solorzano,Abascal,M,"Avenida de  Derivación 286, 4",Barcelona,Barcelona,8945,Cataluña,603 298 288,934 745 303,andreasolorzano71@mail.net,29/01/1977
